Accession,type,r_stele,radius,CF,OneC,nX,X_size,aerenchyma,TCA,kr1,kr2,kr3,Kr1,Kr2,Kr3,Kx,Kr1_pred,kr1_pred,Kr2_pred,kr2_pred,Kr3_pred,kr3_pred,Kx_pred
Ames_19879,burton_mex,0.233304502,0.434096133,8.7,0.023079498,7.699048558,0.068048028,0.0155,0.421,0.000163903,6.10E-05,5.40E-05,0.000447048,0.000166376,0.000147282,1.682218357,0.000447955,0.000128574,0.000189694,5.44E-05,0.000170875,4.90E-05,17.68389916
Ames_19897,burton_mex,0.2990737,0.562211452,9.4,0.027993378,9.869432099,0.084996881,0.083,0.712,0.000152503,6.07E-05,5.40E-05,0.000538714,0.000214496,0.000190602,5.1404205,0.000524229,0.000150466,0.000208407,5.98E-05,0.00018573,5.33E-05,4.383758274
Ames_19907,burton_mex,0.234664889,0.48467793,9.3,0.026883123,7.74394135,0.082104311,0.0259,0.565,0.000145851,5.62E-05,5.03E-05,0.000444162,0.000171084,0.000153195,3.758951203,0.000504752,0.000144876,0.000200714,5.76E-05,0.0001797,5.16E-05,3.698699053
Ames_19924,burton_mex,0.339452764,0.610264342,10.2,0.026550155,11.2019412,0.089198476,0.061,0.808,0.000153807,6.14E-05,5.45E-05,0.000589759,0.00023531,0.000208814,7.580071515,0.000521033,0.000149549,0.000207938,5.97E-05,0.000185216,5.32E-05,5.173381602
Ames_19926,burton_mex,0.370393792,0.678905527,11.8,0.026145062,12.22299513,0.095197571,0.0994,1.017,0.000139235,5.75E-05,5.13E-05,0.000593933,0.000245092,0.000219027,11.70935941,0.000515557,0.000147977,0.000206937,5.94E-05,0.000184348,5.29E-05,6.701791624
Ames_19946,burton_mex,0.340389187,0.648940659,11.6,0.026599265,11.23284317,0.099304708,0.058,0.96,0.000134738,5.53E-05,4.96E-05,0.000549384,0.000225427,0.000202302,12.61718183,0.000512974,0.000147236,0.000204227,5.86E-05,0.000182401,5.24E-05,7.972955712
Ames_19962,burton_mex,0.257310039,0.509959976,9.9,0.025520196,8.491231297,0.083051722,0.0822,0.61,0.000143029,5.61E-05,5.01E-05,0.00045829,0.0001796,0.000160579,4.146737155,0.000499422,0.000143346,0.000199812,5.74E-05,0.000178821,5.13E-05,2.736325208
Ames_19970,burton_mex,0.30643338,0.58223709,11.2,0.024625331,10.11230154,0.091159518,0.0104,0.77,0.000149398,5.85E-05,5.21E-05,0.000546542,0.00021393,0.000190612,8.28924152,0.000526511,0.000151122,0.0002088,5.99E-05,0.000186077,5.34E-05,6.689449481
Ames_19981,burton_mex,0.296937432,0.575915707,9.8,0.028467171,9.798935253,0.093304592,0.0593,0.764,0.00013899,5.62E-05,5.04E-05,0.000502948,0.000203306,0.000182384,8.270703252,0.000512575,0.000147121,0.000204166,5.86E-05,0.00018238,5.23E-05,5.928111798
PI_438943,burton_mex,0.267023247,0.496358592,9.2,0.024927755,8.811767155,0.096164226,0.0438,0.55,0.000162511,6.22E-05,5.50E-05,0.000506825,0.000193841,0.000171425,9.45819191,0.000515473,0.000147953,0.00020466,5.87E-05,0.000182787,5.25E-05,8.459047635
PI_474205,burton_mex,0.329459665,0.61649169,11.2,0.025627859,10.87216896,0.097994994,0.0428,0.854,0.000147238,5.87E-05,5.23E-05,0.000570332,0.000227542,0.00020277,12.16966879,0.000513213,0.000147304,0.000204245,5.86E-05,0.000182414,5.24E-05,3.137717132
PI_476869,burton_mex,0.309533965,0.567844974,9,0.028701223,10.21462086,0.090701799,0.1325,0.712,0.000148183,6.00E-05,5.34E-05,0.000528697,0.000214003,0.000190416,7.195194224,0.000511667,0.000146861,0.000204103,5.86E-05,0.000182239,5.23E-05,2.094198768
PI_479123,burton_mex,0.286016854,0.555948648,10.5,0.02570779,9.438556181,0.081301829,0.1594,0.714,0.00014401,5.75E-05,5.13E-05,0.000503045,0.000200902,0.000179026,4.333913889,0.000512023,0.000146963,0.000204127,5.86E-05,0.000182239,5.23E-05,6.302385616
PI_483312,burton_mex,0.208062838,0.455563438,9.3,0.026612968,6.866073651,0.082832676,0.0263,0.515,0.000140376,5.37E-05,4.83E-05,0.000401811,0.000153704,0.000138243,3.482139081,0.000523378,0.000150222,0.000208325,5.98E-05,0.000185564,5.33E-05,8.186938918
PI_483878,burton_mex,0.303825389,0.600802306,9.8,0.030303767,10.02623784,0.088732333,0.1315,0.843,0.000129316,5.39E-05,4.86E-05,0.000488163,0.000203632,0.000183496,6.11214644,0.000506649,0.000145421,0.000203275,5.83E-05,0.000181592,5.21E-05,4.87225136
PI_483911,burton_mex,0.304871263,0.592801918,11,0.026175514,10.06075167,0.088580003,0.0858,0.812,0.00013992,5.64E-05,5.05E-05,0.000521159,0.000210196,0.000188088,6.699308966,0.000494787,0.000142016,0.000201285,5.78E-05,0.000179742,5.16E-05,7.996922916
